,V,T,U
40656,1.1720829224740799,1355.0103614457832,4222409.752109212
40657,1.1720829224740799,1361.9446586345382,4236762.381900987
40658,1.1720829224740799,1368.8789558232932,4251144.401664535
40659,1.1720829224740799,1375.8132530120483,4265555.677238824
40660,1.1720829224740799,1382.7475502008033,4279996.073775069
40661,1.1720829224740799,1389.6818473895582,4294465.45577947
40662,1.1720829224740799,1396.6161445783132,4308963.6871550735
40663,1.1720829224740799,1403.5504417670684,4323490.631242807
40664,1.1720829224740799,1410.4847389558233,4338046.150861638
40665,1.1720829224740799,1417.4190361445783,4352630.108347916
40666,1.1720829224740799,1424.3533333333335,4367242.36559384
40667,1.1720829224740799,1431.2876305220884,4381882.784085105
40668,1.1720829224740799,1438.2219277108434,4396551.224937694
40669,1.1720829224740799,1445.1562248995986,4411247.548933847
40670,1.1720829224740799,1452.0905220883535,4425971.616557193
40671,1.1720829224740799,1459.0248192771085,4440723.288027066
40672,1.1720829224740799,1465.9591164658634,4455502.42333201
40673,1.1720829224740799,1472.8934136546186,4470308.882262449
40674,1.1720829224740799,1479.8277108433736,4485142.524442592
40675,1.1720829224740799,1486.7620080321285,4500003.20936151
40676,1.1720829224740799,1493.6963052208837,4514890.79640346
40677,1.1720829224740799,1500.6306024096386,4529805.144877398
40678,1.1720829224740799,1507.5648995983936,4544746.114045753
40679,1.1720829224740799,1514.4991967871485,4559713.563152426
40680,1.1720829224740799,1521.4334939759037,4574707.351450049
40681,1.1720829224740799,1528.3677911646587,4589727.338226504
40682,1.1720829224740799,1535.3020883534136,4604773.382830699
40683,1.1720829224740799,1542.2363855421688,4619845.34469766
40684,1.1720829224740799,1549.1706827309238,4634943.083372869
40685,1.1720829224740799,1556.1049799196787,4650066.458535949
40686,1.1720829224740799,1563.0392771084337,4665215.330023634
40687,1.1720829224740799,1569.9735742971889,4680389.557852073
40688,1.1720829224740799,1576.9078714859438,4695589.002238471
40689,1.1720829224740799,1583.8421686746988,4710813.523622077
40690,1.1720829224740799,1590.776465863454,4726062.982684521
40691,1.1720829224740799,1597.710763052209,4741337.240369537
40692,1.1720829224740799,1604.6450602409639,4756636.157902045
40693,1.1720829224740799,1611.579357429719,4771959.596806651
40694,1.1720829224740799,1618.513654618474,4787307.418925516
