,P,T,U
2724,272727717.6125825,691.8393939393941,1548609.7953423634
2725,272727717.6125825,709.2802020202021,1612761.4659891545
2726,272727717.6125825,726.7210101010103,1676804.0007274041
2727,272727717.6125825,744.1618181818183,1740719.8326023573
2728,272727717.6125825,761.6026262626264,1804490.0591441828
2729,272727717.6125825,779.0434343434345,1868094.2214315967
2730,272727717.6125825,796.4842424242424,1931510.0021882523
2731,272727717.6125825,813.9250505050506,1994712.8728383079
2732,272727717.6125825,831.3658585858586,2057675.7608271232
2733,272727717.6125825,848.8066666666668,2120368.8250398156
2734,272727717.6125825,866.2474747474748,2182759.433607591
2735,272727717.6125825,883.688282828283,2244812.425560002
2736,272727717.6125825,901.129090909091,2306490.7039569123
2737,272727717.6125825,918.569898989899,2367756.1573744435
2738,272727717.6125825,936.0107070707072,2428570.8493116526
2739,272727717.6125825,953.4515151515152,2488898.3654534263
2740,272727717.6125825,970.8923232323234,2548705.1795801413
2741,272727717.6125825,988.3331313131314,2607961.897535203
2742,272727717.6125825,1005.7739393939396,2666644.253164543
2743,272727717.6125825,1023.2147474747476,2724733.7971507637
2744,272727717.6125825,1040.6555555555556,2782218.2146766004
2745,272727717.6125825,1058.0963636363638,2839091.3162426366
2746,272727717.6125825,1075.5371717171718,2895352.736432805
2747,272727717.6125825,1092.97797979798,2951007.4174138047
2748,272727717.6125825,1110.418787878788,3006064.956117134
2749,272727717.6125825,1127.8595959595962,3060538.887430675
2750,272727717.6125825,1145.3004040404041,3114445.961251734
2751,272727717.6125825,1162.7412121212124,3167805.454247583
2752,272727717.6125825,1180.1820202020203,3220638.541483455
2753,272727717.6125825,1197.6228282828283,3272967.7406306528
2754,272727717.6125825,1215.0636363636365,3324816.4326360766
2755,272727717.6125825,1232.5044444444445,3376208.4570366894
2756,272727717.6125825,1249.9452525252527,3427167.776766692
2757,272727717.6125825,1267.3860606060607,3477718.2055995814
2758,272727717.6125825,1284.826868686869,3527883.190720688
2759,272727717.6125825,1302.267676767677,3577685.6429361547
2760,272727717.6125825,1319.7084848484849,3627147.8074220675
2761,272727717.6125825,1337.149292929293,3676291.1685256003
2762,272727717.6125825,1354.590101010101,3725136.382833722
2763,272727717.6125825,1372.0309090909093,3773703.235449865
2764,272727717.6125825,1389.4717171717173,3822010.615119167
2765,272727717.6125825,1406.9125252525253,3870076.5044915425
2766,272727717.6125825,1424.3533333333335,3917917.982395415
2767,272727717.6125825,1441.7941414141414,3965551.2355088964
2768,272727717.6125825,1459.2349494949497,4012991.577260703
2769,272727717.6125825,1476.6757575757576,4060253.4721743627
2770,272727717.6125825,1494.1165656565659,4107350.564192849
2771,272727717.6125825,1511.5573737373738,4154295.7077931007
2772,272727717.6125825,1528.998181818182,4201101.00092791
2773,272727717.6125825,1546.43898989899,4247777.81902269
2774,272727717.6125825,1563.879797979798,4294336.849412324
2775,272727717.6125825,1581.3206060606062,4340788.125733603
2776,272727717.6125825,1598.7614141414142,4387141.06189626
2777,272727717.6125825,1616.2022222222224,4433404.485343738
2778,272727717.6125825,1633.6430303030304,4479586.669386938
2779,272727717.6125825,1651.0838383838386,4525695.364452901
2780,272727717.6125825,1668.5246464646466,4571737.828138022
2781,272727717.6125825,1685.9654545454546,4617720.853993575
2782,272727717.6125825,1703.4062626262628,4663650.799002128
2783,272727717.6125825,1720.8470707070708,4709533.60972768
2784,272727717.6125825,1738.287878787879,4755374.847141499
2785,272727717.6125825,1755.728686868687,4801179.710140457
2786,272727717.6125825,1773.1694949494952,4846953.057786035
2787,272727717.6125825,1790.6103030303032,4892699.430300497
2788,272727717.6125825,1808.0511111111111,4938423.068863072
2789,272727717.6125825,1825.4919191919194,4984127.93425303
2790,272727717.6125825,1842.9327272727273,5029817.72438942
2791,272727717.6125825,1860.3735353535355,5075495.890818735
2792,272727717.6125825,1877.8143434343435,5121165.654202314
2793,272727717.6125825,1895.2551515151517,5166830.018855247
2794,272727717.6125825,1912.6959595959597,5212491.786387653
2795,272727717.6125825,1930.136767676768,5258153.568498212
2796,272727717.6125825,1947.577575757576,5303817.798968177
2797,272727717.6125825,1965.018383838384,5349486.744902472
2798,272727717.6125825,1982.459191919192,5395162.517262562
2799,272727717.6125825,1999.9,5440847.080733759
2801,282828721.5332411,290.70080808080814,59311.28384289903
2802,282828721.5332411,308.1416161616162,124308.82189188503
2803,282828721.5332411,325.5824242424243,189553.8331040601
2804,282828721.5332411,343.0232323232324,254766.29533669108
2805,282828721.5332411,360.4640404040405,319855.86359254294
2806,282828721.5332411,377.90484848484857,384801.29025832895
2807,282828721.5332411,395.3456565656566,449609.69088573643
2808,282828721.5332411,412.7864646464647,514299.48481636395
2809,282828721.5332411,430.2272727272728,578892.1082311941
2810,282828721.5332411,447.66808080808084,643407.8750998348
2811,282828721.5332411,465.10888888888894,707864.081537805
2812,282828721.5332411,482.54969696969704,772274.3449601189
2813,282828721.5332411,499.99050505050513,836648.5832256685
2814,282828721.5332411,517.4313131313132,900993.2820799571
2815,282828721.5332411,534.8721212121213,965311.8534561244
2816,282828721.5332411,552.3129292929293,1029604.9844409103
2817,282828721.5332411,569.7537373737375,1093870.9358090158
2818,282828721.5332411,587.1945454545455,1158105.78305643
2819,282828721.5332411,604.6353535353536,1222303.610361246
2820,282828721.5332411,622.0761616161617,1286456.6749673474
2821,282828721.5332411,639.5169696969698,1350555.5591564383
2822,282828721.5332411,656.9577777777779,1414589.3219459776
2823,282828721.5332411,674.3985858585859,1478545.6544173649
2824,282828721.5332411,691.8393939393941,1542411.0328474527
2825,282828721.5332411,709.2802020202021,1606170.8544488715
2826,282828721.5332411,726.7210101010103,1669809.534361319
2827,282828721.5332411,744.1618181818183,1733310.53383034
2828,282828721.5332411,761.6026262626264,1796656.3145781334
2829,282828721.5332411,779.0434343434345,1859828.1840091557
2830,282828721.5332411,796.4842424242424,1922806.0622897479
2831,282828721.5332411,813.9250505050506,1985568.1876973931
2832,282828721.5332411,831.3658585858586,2048090.8155106544
2833,282828721.5332411,848.8066666666668,2110347.980585353
2834,282828721.5332411,866.2474747474748,2172311.4028228023
2835,282828721.5332411,883.688282828283,2233950.6093547093
2836,282828721.5332411,901.129090909091,2295233.325215332
2837,282828721.5332411,918.569898989899,2356126.147177903
2838,282828721.5332411,936.0107070707072,2416595.4696694394
2839,282828721.5332411,953.4515151515152,2476608.587420181
2840,282828721.5332411,970.8923232323234,2536134.8676461815
2841,282828721.5332411,988.3331313131314,2595146.8758914615
2842,282828721.5332411,1005.7739393939396,2653621.3241722495
2843,282828721.5332411,1023.2147474747476,2711539.8207102553
2844,282828721.5332411,1040.6555555555556,2768889.2789751524
2845,282828721.5332411,1058.0963636363638,2825662.0648570303
2846,282828721.5332411,1075.5371717171718,2881855.8652598583
2847,282828721.5332411,1092.97797979798,2937473.3385584275
2848,282828721.5332411,1110.418787878788,2992521.6096221544
2849,282828721.5332411,1127.8595959595962,3047011.672985686
2850,282828721.5332411,1145.3004040404041,3100957.760017702
2851,282828721.5332411,1162.7412121212124,3154376.7135596187
2852,282828721.5332411,1180.1820202020203,3207287.400093588
2853,282828721.5332411,1197.6228282828283,3259710.177511287
2854,282828721.5332411,1215.0636363636365,3311666.4271438816
2855,282828721.5332411,1232.5044444444445,3363178.152043515
2856,282828721.5332411,1249.9452525252527,3414267.6391963665
2857,282828721.5332411,1267.3860606060607,3464957.1808332126
2858,282828721.5332411,1284.826868686869,3515268.848746288
2859,282828721.5332411,1302.267676767677,3565224.3150914502
2860,282828721.5332411,1319.7084848484849,3614844.7132406873
2861,282828721.5332411,1337.149292929293,3664150.5326380576
2862,282828721.5332411,1354.590101010101,3713161.5421604356
2863,282828721.5332411,1372.0309090909093,3761896.73710015
2864,282828721.5332411,1389.4717171717173,3810374.3055111906
2865,282828721.5332411,1406.9125252525253,3858611.6102579827
2866,282828721.5332411,1424.3533333333335,3906625.1836555446
2867,282828721.5332411,1441.7941414141414,3954430.7320825276
2868,282828721.5332411,1459.2349494949497,4002043.148381133
2869,282828721.5332411,1476.6757575757576,4049476.5302320835
2870,282828721.5332411,1494.1165656565659,4096744.203012582
2871,282828721.5332411,1511.5573737373738,4143858.7459161305
2872,282828721.5332411,1528.998181818182,4190832.020340879
2873,282828721.5332411,1546.43898989899,4237675.1997437
2874,282828721.5332411,1563.879797979798,4284398.800315816
2875,282828721.5332411,1581.3206060606062,4331012.711967201
2876,282828721.5332411,1598.7614141414142,4377526.229215695
2877,282828721.5332411,1616.2022222222224,4423948.081666168
2878,282828721.5332411,1633.6430303030304,4470286.463838495
2879,282828721.5332411,1651.0838383838386,4516549.064163144
2880,282828721.5332411,1668.5246464646466,4562743.093012112
2881,282828721.5332411,1685.9654545454546,4608875.309672597
2882,282828721.5332411,1703.4062626262628,4654952.048202766
2883,282828721.5332411,1720.8470707070708,4700979.242134736
2884,282828721.5332411,1738.287878787879,4746962.448010198
2885,282828721.5332411,1755.728686868687,4792906.867750291
2886,282828721.5332411,1773.1694949494952,4838817.369873836
2887,282828721.5332411,1790.6103030303032,4884698.5095876735
2888,282828721.5332411,1808.0511111111111,4930554.547780131
2889,282828721.5332411,1825.4919191919194,4976389.468953871
2890,282828721.5332411,1842.9327272727273,5022206.998138183
2891,282828721.5332411,1860.3735353535355,5068010.616823149
2892,282828721.5332411,1877.8143434343435,5113803.577959622
2893,282828721.5332411,1895.2551515151517,5159588.92006953
2894,282828721.5332411,1912.6959595959597,5205369.480511003
2895,282828721.5332411,1930.136767676768,5251147.907942359
2896,282828721.5332411,1947.577575757576,5296926.674027997
2897,282828721.5332411,1965.018383838384,5342708.084428144
2898,282828721.5332411,1982.459191919192,5388494.28911298
2899,282828721.5332411,1999.9,5434287.2920400705
2901,292929725.4538997,290.70080808080814,58862.49903884772
2902,292929725.4538997,308.1416161616162,123720.277077979
2903,292929725.4538997,325.5824242424243,188822.3002703602
2904,292929725.4538997,343.0232323232324,253880.2339954925
2905,292929725.4538997,360.4640404040405,318803.7233234684
2906,292929725.4538997,377.90484848484857,383573.1286727503
2907,292929725.4538997,395.3456565656566,448196.9667809656
2908,292929725.4538997,412.7864646464647,512694.4973585195
2909,292929725.4538997,430.2272727272728,577087.4847211005
2910,292929725.4538997,447.66808080808084,641396.1881552602
2911,292929725.4538997,465.10888888888894,705637.5878082966
2912,292929725.4538997,482.54969696969704,769824.8195029902
2913,292929725.4538997,499.99050505050513,833967.2255002445
2914,292929725.4538997,517.4313131313132,898070.6754405295
2915,292929725.4538997,534.8721212121213,962137.965508176
2916,292929725.4538997,552.3129292929293,1026169.199655139
2917,292929725.4538997,569.7537373737375,1090162.1144186219
2918,292929725.4538997,587.1945454545455,1154112.341740748
2919,292929725.4538997,604.6353535353536,1218013.6210840414
2920,292929725.4538997,622.0761616161617,1281857.978711838
2921,292929725.4538997,639.5169696969698,1345635.8918052816
2922,292929725.4538997,656.9577777777779,1409336.4503676647
2923,292929725.4538997,674.3985858585859,1472947.5222731305
2924,292929725.4538997,691.8393939393941,1536455.9178322565
2925,292929725.4538997,709.2802020202021,1599847.5414941984
2926,292929725.4538997,726.7210101010103,1663107.5124139935
2927,292929725.4538997,744.1618181818183,1726220.2257069002
2928,292929725.4538997,761.6026262626264,1789169.3518234503
2929,292929725.4538997,779.0434343434345,1851937.7344488518
2930,292929725.4538997,796.4842424242424,1914507.2147908278
2931,292929725.4538997,813.9250505050506,1976858.3882890411
2932,292929725.4538997,831.3658585858586,2038970.336634686
2933,292929725.4538997,848.8066666666668,2100820.39092811
2934,292929725.4538997,866.2474747474748,2162383.992014942
2935,292929725.4538997,883.688282828283,2223634.713440301
2936,292929725.4538997,901.129090909091,2284544.4987444305
2937,292929725.4538997,918.569898989899,2345084.1382814217
2938,292929725.4538997,936.0107070707072,2405223.975109093
2939,292929725.4538997,953.4515151515152,2464934.79175986
2940,292929725.4538997,970.8923232323234,2524188.798439298
2941,292929725.4538997,988.3331313131314,2582960.625773311
2942,292929725.4538997,1005.7739393939396,2641228.2277081157
2943,292929725.4538997,1023.2147474747476,2698973.596275997
2944,292929725.4538997,1040.6555555555556,2756183.2828968144
2945,292929725.4538997,1058.0963636363638,2812848.6287433514
2946,292929725.4538997,1075.5371717171718,2868965.778204609
2947,292929725.4538997,1092.97797979798,2924535.474451654
2948,292929725.4538997,1110.418787878788,2979562.6913561644
2949,292929725.4538997,1127.8595959595962,3034056.154640213
2950,292929725.4538997,1145.3004040404041,3088027.8030172656
2951,292929725.4538997,1162.7412121212124,3141492.23238259
2952,292929725.4538997,1180.1820202020203,3194466.155750057
2953,292929725.4538997,1197.6228282828283,3246967.901065107
2954,292929725.4538997,1215.0636363636365,3299016.959820667
2955,292929725.4538997,1232.5044444444445,3350633.5922514363
2956,292929725.4538997,1249.9452525252527,3401838.4898256343
